"","variable","coef.full","or.full","coef.offsetdecay","or.offsetdecay"
"1","(Intercept)","-2.2646",0.1039,"-2.2646",0.1039
"2","widetargeting","0",1,"0",1
"3","narrowtargeting","0.1113",1.1178,"0.1113",1.1178
"4","womencivsoc","0",1,"0",1
"5","govcensorship","0",1,"0",1
"6","partyban.new.0","-0.2642",0.7678,"-0.2642",0.7678
"7","partyban.new.1","0.2731",1.314,"0.2731",1.314
"8","partyban.new.2","0",1,"0",1
"9","minorityrule","0",1,"0",1
"10","judicialreform","3e-04",1.0003,"3e-04",1.0003
"11","religiousfreedom","0",1,"0",1
"12","pol_killing_approved","0.4921",1.6358,"0.4921",1.6358
"13","freediscussion","0",1,"0",1
"14","social_inequality","0.0056",1.0056,"0.0056",1.0056
"15","even_civilrights","-0.8212",0.4399,"-0.8212",0.4399
"16","repress_civilsoc","-0.0204",0.9798,"-0.0204",0.9798
"17","social_power_dist","0.1945",1.2147,"0.1945",1.2147
"18","ses_power_dist","-0.0525",0.9489,"-0.0525",0.9489
"19","wdi.popsize.log2.combined","0.1329",1.1422,"0.1329",1.1422
"20","wdi.gdppcgrow.new.combined","0",1,"0",1
"21","wdi.trade.new.log2.combined","-0.0099",0.9901,"-0.0099",0.9901
"22","un_imr_sqrt","0.0919",1.0962,"0.0919",1.0962
"23","efindex","0.1555",1.1682,"0.1555",1.1682
"24","discrimpop","0.8917",2.4393,"0.8917",2.4393
"25","reg.na","-0.5441",0.5804,"-0.5441",0.5804
"26","reg.eap","0",1,"0",1
"27","reg.sca","0.241",1.2726,"0.241",1.2726
"28","reg.mna","0",1,"0",1
"29","reg.eur","-0.0108",0.9892,"-0.0108",0.9892
"30","ios.iccpr1","-0.1218",0.8853,"-0.1218",0.8853
"31","battledeaths.ln2","0.0332",1.0338,"0.0332",1.0338
"32","coup.try.5yr","0.6519",1.9191,"0.6519",1.9191
"33","mk_ongoing_count_log","0",1,"0",1
"34","mean_mk_onset","-0.1873",0.8292,"-0.1873",0.8292
"35","mk_onset_prev_year","-0.0734",0.9293,"-0.0734",0.9293
"36","newcountry","0.6367",1.8902,"0.6367",1.8902
"37","mk_ever","0.4907",1.6335,"0.4907",1.6335
"38","year_sq","0",1,"0",1
"39","countryage_new_ln","0",1,"0",1
"40","includesnonstate","0",1,"0",1
"41","offset_decay",NA,NA,"0",1
